Subframe,Index,Service_type,Handover,Packet_size,Packet_size_norm
0,0,4,1,59,0.21851851851851853
0,1,3,0,24,0.08888888888888889
0,2,0,0,20,0.07407407407407407
0,3,0,1,44,0.16296296296296298
0,4,1,0,62,0.22962962962962963
0,5,3,0,20,0.07407407407407407
0,6,0,0,24,0.08888888888888889
0,7,1,1,37,0.13703703703703704
0,8,4,0,44,0.16296296296296298
0,9,0,0,28,0.1037037037037037
0,10,4,0,35,0.12962962962962962
0,11,5,0,70,0.25925925925925924
0,12,4,1,81,0.3
0,13,2,0,52,0.1925925925925926
0,14,4,0,51,0.18888888888888888
0,15,4,0,47,0.17407407407407408
0,16,0,0,27,0.1
0,17,5,0,197,0.7296296296296296
0,18,3,0,56,0.2074074074074074
0,19,5,1,96,0.35555555555555557
0,20,0,0,24,0.08888888888888889
0,21,5,1,109,0.40370370370370373
0,22,1,0,31,0.11481481481481481
0,23,0,0,16,0.05925925925925926
0,24,0,1,16,0.05925925925925926
0,25,3,0,17,0.06296296296296296
0,26,5,0,49,0.1814814814814815
0,27,0,0,15,0.05555555555555555
0,28,5,0,68,0.2518518518518518
0,29,3,0,17,0.06296296296296296
0,30,2,0,68,0.2518518518518518
0,31,3,0,15,0.05555555555555555
0,32,1,1,35,0.12962962962962962
0,33,2,1,47,0.17407407407407408
0,34,5,0,48,0.17777777777777778
0,35,2,1,45,0.16666666666666666
0,36,0,0,18,0.06666666666666667
0,37,5,0,106,0.3925925925925926
0,38,2,0,136,0.5037037037037037
0,39,2,0,53,0.1962962962962963
0,40,1,0,67,0.24814814814814815
0,41,1,0,35,0.12962962962962962
0,42,5,1,53,0.1962962962962963
0,43,2,0,138,0.5111111111111111
0,44,0,0,19,0.07037037037037037
0,45,3,0,19,0.07037037037037037
0,46,1,0,270,1.0
0,47,2,0,72,0.26666666666666666
0,48,3,0,17,0.06296296296296296
0,49,2,0,46,0.17037037037037037
0,50,2,0,65,0.24074074074074073
0,51,2,0,221,0.8185185185185185
0,52,2,1,65,0.24074074074074073
0,53,4,0,58,0.21481481481481482
0,54,2,0,49,0.1814814814814815
0,55,0,0,26,0.0962962962962963
0,56,1,0,40,0.14814814814814814
1,0,3,0,17,0.06296296296296296
1,1,0,0,21,0.07777777777777778
1,2,4,0,42,0.15555555555555556
1,3,0,0,17,0.06296296296296296
1,4,4,0,71,0.26296296296296295
1,5,0,0,27,0.1
1,6,4,1,83,0.3074074074074074
1,7,3,0,21,0.07777777777777778
1,8,1,0,39,0.14444444444444443
1,9,3,1,16,0.05925925925925926
1,10,3,1,22,0.08148148148148149
1,11,3,0,27,0.1
1,12,3,0,16,0.05925925925925926
1,13,0,1,19,0.07037037037037037
1,14,1,0,34,0.1259259259259259
1,15,5,1,46,0.17037037037037037
1,16,2,0,53,0.1962962962962963
1,17,1,0,31,0.11481481481481481
1,18,3,0,26,0.0962962962962963
1,19,1,0,38,0.14074074074074075
1,20,3,1,18,0.06666666666666667
1,21,0,0,19,0.07037037037037037
1,22,1,0,32,0.11851851851851852
